Developer Volume,Levels of Lift,Processing Time,Natural Series Uses,Extra Lift Uses,Universal ON Uses
5 vol (1.5%),0-1,20 min,Adding tone; same depth/darker; glossing,N/A,All Universal ON applications
10 vol (3%),1,20 min,1 level lift; deeper results; soft blending,N/A,N/A
20 vol (6%),2,30 min,2 levels lift; grey coverage natural series (45 min); natural/natural (30 min),N/A,N/A
30 vol (9%),3,40 min,3 levels lift,4 levels lift (30 min),N/A
40 vol (12%),4,45 min,4 levels lift,5 levels lift (45 min),N/A
