Vibrancy Level,Natural Series Formula,Intense Series Formula,Extra Lift Pastel Formula,Description
Soft,40g base + 50% less pure tone for level,N/A,40g ELC + 2g pastel tone,Subtle tonal effect
Standard,40g base + recommended pure tone for level,10g natural + 30g intense base + standard pure tone,40g ELC + 4g pastel tone,Standard tonal result
Strong,40g base + 50% more pure tone for level,N/A,40g ELC + 8g pastel tone,Strong tonal result
Bright,20g base + 20g base + double pure tone,N/A,N/A,"Bright, vivid result"
Intense,10g natural + 30g intense base + double pure tone,N/A,N/A,Maximum intensity
