Service,Condition,Method,Products Used
Refresh Color,Color lost tone or lightened up to 1 level,"Apply to new growth, process, add water and emulsify through ends 2-5 min",Full Spectrum Permanent + Color Catalyst
Reestablish Color,Color lost tone or lightened up to 2-3 levels,"Apply to new growth, apply same shade with 5vol OR matching Deposit-Only through ends for last 20 min",Full Spectrum Permanent + 5vol OR Deposit-Only Color Treatment
Pure Color Balance,Least translucent gloss,20g base + 40g natural + standard pure tone,Universal ON + Natural Series
Natural Tonal Gloss,Medium translucency,20g natural + 20g Universal ON + standard pure tone,Universal ON + Natural Series
Extreme Gloss,Most translucent,20g + 20g OR 20g Universal ON,Universal ON
Tonal Gloss,Translucent,40g base + 8g pure tone,Natural Series + Pure Tone
Clear Gloss,Most translucent,40g base (no tone),Universal ON or Natural Series
