Technology/Dye,Description,Found In,Shade Examples
Rubilane,Copper dye technology,Color Gels Lacquers,"Amber Glaze (6CB), Clove (4CB)"
R5,Red dye technology,Color Gels Lacquers,"Marigold (7RO), Bonfire (6RO), Paprika (5RO)"
Carmin'R,Red dye technology (enhanced),Color Gels Lacquers,"Flame (7RR), Blaze (6RR), Lava (4RR), Cabernet (4RV), Sangria (5RV)"
Bonder Inside,Bond-strengthening technology,Shades EQ Bonder Inside,All Bonder Inside shades
Color Kickers,High-purity additives with no brown/background,Shades EQ Gloss,"Yellow, Copper, Violet, Red Kickers"
