line,shade_name,code,tone_family,base,description
Express Tones,Express Tone Beige,BEIGE,Neutral,Beige,Fast-acting neutral beige toner
Express Tones,Express Tone Ash,ASH,Cool,Ash,Fast-acting cool ash toner
Express Tones,Express Tone Pearl,PEARL,Cool,Pearl/Blue-Violet,Fast-acting pearl toner
Express Tones,Express Tone Violet,VIOLET,Cool,Violet,Fast-acting violet toner
Express Tones,Express Tone Gold,GOLD,Warm,Gold,Fast-acting golden toner
Express Tones,Express Tone Natural,NATURAL,Neutral,Natural,Fast-acting natural toner
Express Tones,Express Tone Copper,COPPER,Warm,Copper,Fast-acting copper toner
Express Tones,Express Tone Clear,CLEAR,Additive,Clear,Dilute other Express Tones for less deposit
